mbs;postupak;datum_stecaja
10014983;1;
10015293;1;
10015316;3;
10015332;1;
10015404;1;
10015412;1;
10015429;1;
10015445;1;
10015470;1;
10015540;1;
10015582;1;
10015599;1;
10015603;1;
10015620;1;
10015638;1;
10015742;1;
10015783;1;
10015791;1;
10015935;1;
10016010;1;
10016173;1;
10016261;1;
10016331;1;
10016358;1;
10016374;6;
10016526;1;
10016606;2;2015-06-23T22:00:00Z
10016647;1;
10016680;1;
10016884;1;
10016964;1;
10016972;1;
10017088;1;
10017096;1;
10017140;1;
10017279;1;
10017287;1;
10017326;1;
10017334;1;
10017367;1;
10017439;1;
10017463;1;
10017502;2;2019-10-15T22:00:00Z
10017560;1;
10017578;1;
10017594;2;2018-01-31T23:00:00Z
10017705;1;
10017772;1;
10017852;1;
10017877;1;
10017973;1;
10017981;1;
10018007;1;
10018023;1;
10018058;1;
10018267;1;
10018306;1;
10018380;1;
10018419;1;
10018509;1;
10018517;1;
10018533;1;
10018605;1;
10018656;1;
10018689;1;
10018697;1;
10018736;1;
10018752;1;
10018777;1;
10018793;1;
10018816;1;
10018832;1;
10018904;1;
10018912;1;
10018929;1;
10018937;1;
10019026;1;
10019067;1;
10019091;1;
10019106;1;
10019114;1;
10019163;1;
10019456;1;
10019472;1;
10019489;1;
10019544;1;
10019552;1;
10019569;1;
10019616;1;
10019632;1;
10019649;1;
10019657;1;
10019665;1;
10019673;1;
10019681;1;
10019690;1;
10019712;1;
10019729;1;
10019788;1;
10019987;1;
10020081;1;
10020153;6;
10020196;1;
10020215;2;2017-11-14T23:00:00Z
10020354;1;
10020418;1;
10020426;1;
10020522;1;
10020602;1;
10020619;2;2016-05-31T22:00:00Z
10020889;1;
10020985;1;
10021020;1;
10021046;1;
10021054;1;
10021079;1;
10021191;1;
10021222;1;
10021319;3;
10021343;1;
10021378;1;
10021417;1;
10021468;1;
10021484;1;
10021505;1;
10021572;1;
10021597;1;
10021644;1;
10021652;1;
10021685;5;
10021765;1;
10021773;1;
10021907;3;
10021923;1;
10021966;1;
10022006;1;
10022039;1;
10022071;1;
10022143;1;
10022151;1;
10022194;1;
10022225;1;
10022313;1;
10022330;1;
10022477;1;
10022485;1;
10022508;1;
10022758;1;
10022774;1;
10022803;1;
10022846;1;
10022887;1;
